Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:42<00:00, 232.80it/s]
Starting training with run name: filter_half_bs_64_ac_relu
Epoch [1/20], Train Loss: 2.3018, Train Acc: 10.90%, Val Loss: 2.2982, Val Acc: 15.65%
Epoch [2/20], Train Loss: 2.2848, Train Acc: 14.68%, Val Loss: 2.2588, Val Acc: 15.85%
Epoch [3/20], Train Loss: 2.2469, Train Acc: 15.91%, Val Loss: 2.2313, Val Acc: 17.65%
Epoch [4/20], Train Loss: 2.2253, Train Acc: 17.30%, Val Loss: 2.2122, Val Acc: 18.05%
Epoch [5/20], Train Loss: 2.2074, Train Acc: 18.88%, Val Loss: 2.2022, Val Acc: 18.00%
Epoch [6/20], Train Loss: 2.1931, Train Acc: 19.36%, Val Loss: 2.1937, Val Acc: 18.75%
Epoch [7/20], Train Loss: 2.1759, Train Acc: 20.43%, Val Loss: 2.1718, Val Acc: 20.95%
Epoch [8/20], Train Loss: 2.1545, Train Acc: 21.99%, Val Loss: 2.1470, Val Acc: 21.65%
Epoch [9/20], Train Loss: 2.1258, Train Acc: 23.24%, Val Loss: 2.1306, Val Acc: 22.45%
Epoch [10/20], Train Loss: 2.1052, Train Acc: 24.70%, Val Loss: 2.1262, Val Acc: 22.55%
Epoch [11/20], Train Loss: 2.0877, Train Acc: 25.47%, Val Loss: 2.1092, Val Acc: 22.75%
Epoch [12/20], Train Loss: 2.0757, Train Acc: 25.38%, Val Loss: 2.1145, Val Acc: 24.35%
Epoch [13/20], Train Loss: 2.0627, Train Acc: 26.18%, Val Loss: 2.1079, Val Acc: 23.90%
Epoch [14/20], Train Loss: 2.0527, Train Acc: 26.55%, Val Loss: 2.1021, Val Acc: 23.75%
Epoch [15/20], Train Loss: 2.0429, Train Acc: 27.28%, Val Loss: 2.0972, Val Acc: 26.15%
Epoch [16/20], Train Loss: 2.0314, Train Acc: 27.12%, Val Loss: 2.0874, Val Acc: 25.50%
Epoch [17/20], Train Loss: 2.0228, Train Acc: 27.58%, Val Loss: 2.0730, Val Acc: 25.85%
Epoch [18/20], Train Loss: 2.0124, Train Acc: 28.07%, Val Loss: 2.0784, Val Acc: 26.10%
Epoch [19/20], Train Loss: 2.0045, Train Acc: 27.93%, Val Loss: 2.0732, Val Acc: 26.85%
Epoch [20/20], Train Loss: 1.9968, Train Acc: 29.09%, Val Loss: 2.0681, Val Acc: 25.80%
