Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:41<00:00, 240.36it/s]
Starting training with run name: filter_same_bs_64_ac_mish
Epoch [1/25], Train Loss: 2.2910, Train Acc: 13.13%, Val Loss: 2.2557, Val Acc: 15.05%
Epoch [2/25], Train Loss: 2.2225, Train Acc: 18.50%, Val Loss: 2.1833, Val Acc: 20.65%
Epoch [3/25], Train Loss: 2.1667, Train Acc: 22.08%, Val Loss: 2.1408, Val Acc: 22.25%
Epoch [4/25], Train Loss: 2.1205, Train Acc: 24.13%, Val Loss: 2.1015, Val Acc: 24.10%
Epoch [5/25], Train Loss: 2.0803, Train Acc: 26.22%, Val Loss: 2.0802, Val Acc: 24.65%
Epoch [6/25], Train Loss: 2.0615, Train Acc: 26.37%, Val Loss: 2.0743, Val Acc: 24.75%
Epoch [7/25], Train Loss: 2.0454, Train Acc: 27.27%, Val Loss: 2.0614, Val Acc: 25.45%
Epoch [8/25], Train Loss: 2.0286, Train Acc: 27.98%, Val Loss: 2.0491, Val Acc: 26.00%
Epoch [9/25], Train Loss: 2.0116, Train Acc: 29.08%, Val Loss: 2.0409, Val Acc: 27.05%
Epoch [10/25], Train Loss: 1.9954, Train Acc: 29.38%, Val Loss: 2.0181, Val Acc: 26.80%
Epoch [11/25], Train Loss: 1.9779, Train Acc: 30.64%, Val Loss: 2.0023, Val Acc: 28.70%
Epoch [12/25], Train Loss: 1.9628, Train Acc: 30.78%, Val Loss: 2.0022, Val Acc: 28.85%
Epoch [13/25], Train Loss: 1.9464, Train Acc: 31.89%, Val Loss: 1.9933, Val Acc: 29.60%
Epoch [14/25], Train Loss: 1.9343, Train Acc: 32.75%, Val Loss: 1.9903, Val Acc: 30.00%
Epoch [15/25], Train Loss: 1.9215, Train Acc: 32.79%, Val Loss: 1.9759, Val Acc: 30.45%
Epoch [16/25], Train Loss: 1.9043, Train Acc: 33.35%, Val Loss: 1.9756, Val Acc: 31.10%
Epoch [17/25], Train Loss: 1.8948, Train Acc: 33.62%, Val Loss: 1.9697, Val Acc: 31.80%
Epoch [18/25], Train Loss: 1.8792, Train Acc: 34.10%, Val Loss: 1.9588, Val Acc: 31.80%
Epoch [19/25], Train Loss: 1.8691, Train Acc: 34.75%, Val Loss: 1.9571, Val Acc: 31.80%
Epoch [20/25], Train Loss: 1.8593, Train Acc: 35.50%, Val Loss: 1.9525, Val Acc: 31.60%
Epoch [21/25], Train Loss: 1.8476, Train Acc: 35.39%, Val Loss: 1.9405, Val Acc: 33.05%
Epoch [22/25], Train Loss: 1.8354, Train Acc: 36.10%, Val Loss: 1.9464, Val Acc: 33.05%
Epoch [23/25], Train Loss: 1.8215, Train Acc: 36.67%, Val Loss: 1.9370, Val Acc: 32.70%
Epoch [24/25], Train Loss: 1.8090, Train Acc: 36.90%, Val Loss: 1.9292, Val Acc: 33.10%
Epoch [25/25], Train Loss: 1.7977, Train Acc: 37.84%, Val Loss: 1.9340, Val Acc: 32.90%
