Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:44<00:00, 225.52it/s]
Starting training with run name: filter_same_bs_128_ac_leaky_relu
Epoch [1/25], Train Loss: 2.1871, Train Acc: 20.48%, Val Loss: 2.0762, Val Acc: 26.50%
Epoch [2/25], Train Loss: 2.0131, Train Acc: 29.53%, Val Loss: 2.0035, Val Acc: 28.40%
Epoch [3/25], Train Loss: 1.9424, Train Acc: 32.87%, Val Loss: 1.9628, Val Acc: 30.05%
Epoch [4/25], Train Loss: 1.8728, Train Acc: 35.03%, Val Loss: 1.9382, Val Acc: 32.50%
Epoch [5/25], Train Loss: 1.8244, Train Acc: 37.04%, Val Loss: 1.9108, Val Acc: 32.40%
Epoch [6/25], Train Loss: 1.7808, Train Acc: 38.84%, Val Loss: 1.8804, Val Acc: 33.60%
Epoch [7/25], Train Loss: 1.7347, Train Acc: 40.61%, Val Loss: 1.8704, Val Acc: 35.25%
Epoch [8/25], Train Loss: 1.6851, Train Acc: 42.97%, Val Loss: 1.8562, Val Acc: 36.15%
Epoch [9/25], Train Loss: 1.6470, Train Acc: 43.66%, Val Loss: 1.8511, Val Acc: 36.05%
Epoch [10/25], Train Loss: 1.6038, Train Acc: 46.43%, Val Loss: 1.8539, Val Acc: 34.85%
Epoch [11/25], Train Loss: 1.5712, Train Acc: 46.92%, Val Loss: 1.8209, Val Acc: 37.80%
Epoch [12/25], Train Loss: 1.5314, Train Acc: 48.38%, Val Loss: 1.8274, Val Acc: 37.50%
Epoch [13/25], Train Loss: 1.4977, Train Acc: 50.24%, Val Loss: 1.8008, Val Acc: 38.25%
Epoch [14/25], Train Loss: 1.4636, Train Acc: 52.07%, Val Loss: 1.8245, Val Acc: 36.80%
Epoch [15/25], Train Loss: 1.4199, Train Acc: 53.51%, Val Loss: 1.8106, Val Acc: 37.30%
Epoch [16/25], Train Loss: 1.3789, Train Acc: 55.98%, Val Loss: 1.7927, Val Acc: 38.50%
Epoch [17/25], Train Loss: 1.3488, Train Acc: 57.04%, Val Loss: 1.7975, Val Acc: 38.80%
Epoch [18/25], Train Loss: 1.3080, Train Acc: 58.67%, Val Loss: 1.7928, Val Acc: 38.20%
Epoch [19/25], Train Loss: 1.2697, Train Acc: 60.10%, Val Loss: 1.7798, Val Acc: 40.35%
Epoch [20/25], Train Loss: 1.2293, Train Acc: 61.87%, Val Loss: 1.7668, Val Acc: 40.05%
Epoch [21/25], Train Loss: 1.2033, Train Acc: 63.35%, Val Loss: 1.7881, Val Acc: 39.35%
Epoch [22/25], Train Loss: 1.1724, Train Acc: 64.08%, Val Loss: 1.7895, Val Acc: 38.50%
Epoch [23/25], Train Loss: 1.1394, Train Acc: 65.95%, Val Loss: 1.7564, Val Acc: 40.75%
[34m[1mwandb[0m: Ctrl + C detected. Stopping sweep.
