Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:44<00:00, 224.54it/s]
Starting training with run name: filter_half_bs_32_ac_gelu
Epoch [1/25], Train Loss: 2.1360, Train Acc: 22.12%, Val Loss: 2.0363, Val Acc: 27.00%
Epoch [2/25], Train Loss: 2.0103, Train Acc: 28.20%, Val Loss: 2.0160, Val Acc: 27.80%
Epoch [3/25], Train Loss: 1.9484, Train Acc: 31.17%, Val Loss: 1.9599, Val Acc: 31.45%
Epoch [4/25], Train Loss: 1.9149, Train Acc: 31.20%, Val Loss: 1.9565, Val Acc: 30.55%
Epoch [5/25], Train Loss: 1.8603, Train Acc: 34.04%, Val Loss: 1.9773, Val Acc: 30.30%
Epoch [6/25], Train Loss: 1.8251, Train Acc: 35.07%, Val Loss: 1.9027, Val Acc: 32.30%
Epoch [7/25], Train Loss: 1.7702, Train Acc: 37.15%, Val Loss: 1.8922, Val Acc: 32.80%
Epoch [8/25], Train Loss: 1.7374, Train Acc: 38.73%, Val Loss: 1.9146, Val Acc: 32.35%
Epoch [9/25], Train Loss: 1.6946, Train Acc: 40.18%, Val Loss: 1.9785, Val Acc: 31.00%
Epoch [10/25], Train Loss: 1.6400, Train Acc: 42.61%, Val Loss: 1.9566, Val Acc: 30.45%
Epoch [11/25], Train Loss: 1.5811, Train Acc: 44.09%, Val Loss: 1.9858, Val Acc: 32.65%
Epoch [12/25], Train Loss: 1.5008, Train Acc: 46.66%, Val Loss: 1.9775, Val Acc: 32.00%
Epoch [13/25], Train Loss: 1.4272, Train Acc: 50.02%, Val Loss: 2.0660, Val Acc: 31.85%
Epoch [14/25], Train Loss: 1.3395, Train Acc: 53.51%, Val Loss: 2.1107, Val Acc: 32.85%
Epoch [15/25], Train Loss: 1.2430, Train Acc: 56.91%, Val Loss: 2.1646, Val Acc: 31.60%
Epoch [16/25], Train Loss: 1.1449, Train Acc: 60.73%, Val Loss: 2.1730, Val Acc: 29.40%
Epoch [17/25], Train Loss: 1.0318, Train Acc: 64.50%, Val Loss: 2.3983, Val Acc: 29.45%
Epoch [18/25], Train Loss: 0.9147, Train Acc: 68.66%, Val Loss: 2.3090, Val Acc: 30.90%
Epoch [19/25], Train Loss: 0.7923, Train Acc: 73.56%, Val Loss: 2.5374, Val Acc: 29.70%
Epoch [20/25], Train Loss: 0.7002, Train Acc: 76.73%, Val Loss: 2.6051, Val Acc: 28.75%
Epoch [21/25], Train Loss: 0.6181, Train Acc: 79.71%, Val Loss: 2.6506, Val Acc: 29.10%
Epoch [22/25], Train Loss: 0.5506, Train Acc: 82.26%, Val Loss: 2.8329, Val Acc: 30.25%
[34m[1mwandb[0m: Ctrl + C detected. Stopping sweep.
