Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:43<00:00, 232.00it/s]
[34m[1mwandb[0m: [33mWARNING[0m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Starting training with run name: filter_double_bs_32_ac_relu
Epoch [1/25], Train Loss: 2.3115, Train Acc: 9.21%, Val Loss: 2.3026, Val Acc: 10.00%
Epoch [2/25], Train Loss: 2.3029, Train Acc: 9.43%, Val Loss: 2.3026, Val Acc: 10.00%
Epoch [3/25], Train Loss: 2.3029, Train Acc: 9.85%, Val Loss: 2.3026, Val Acc: 10.00%
Epoch [4/25], Train Loss: 2.2899, Train Acc: 12.35%, Val Loss: 2.2150, Val Acc: 16.60%
Epoch [5/25], Train Loss: 2.2219, Train Acc: 17.43%, Val Loss: 2.2004, Val Acc: 18.95%
Epoch [6/25], Train Loss: 2.1817, Train Acc: 19.48%, Val Loss: 2.1538, Val Acc: 21.15%
Epoch [7/25], Train Loss: 2.1534, Train Acc: 20.53%, Val Loss: 2.1359, Val Acc: 21.75%
Epoch [8/25], Train Loss: 2.0996, Train Acc: 22.84%, Val Loss: 2.0773, Val Acc: 24.15%
Epoch [9/25], Train Loss: 2.0342, Train Acc: 26.38%, Val Loss: 2.0110, Val Acc: 26.90%
Epoch [10/25], Train Loss: 1.9654, Train Acc: 29.95%, Val Loss: 1.9932, Val Acc: 29.65%
Epoch [11/25], Train Loss: 1.8974, Train Acc: 31.97%, Val Loss: 1.9535, Val Acc: 30.55%
Epoch [12/25], Train Loss: 1.8270, Train Acc: 35.48%, Val Loss: 1.9595, Val Acc: 32.55%
Epoch [13/25], Train Loss: 1.7522, Train Acc: 38.24%, Val Loss: 1.9506, Val Acc: 31.80%
Epoch [14/25], Train Loss: 1.6691, Train Acc: 41.42%, Val Loss: 1.9702, Val Acc: 31.60%
Epoch [15/25], Train Loss: 1.5537, Train Acc: 45.32%, Val Loss: 2.0129, Val Acc: 32.30%
Epoch [16/25], Train Loss: 1.4230, Train Acc: 51.18%, Val Loss: 2.1304, Val Acc: 31.95%
Epoch [17/25], Train Loss: 1.2979, Train Acc: 55.54%, Val Loss: 2.3275, Val Acc: 30.75%
Epoch [18/25], Train Loss: 1.1653, Train Acc: 59.74%, Val Loss: 2.4641, Val Acc: 32.20%
Epoch [19/25], Train Loss: 1.0323, Train Acc: 64.31%, Val Loss: 2.5966, Val Acc: 31.90%
Epoch [20/25], Train Loss: 0.8939, Train Acc: 68.46%, Val Loss: 3.0452, Val Acc: 30.05%
Epoch [21/25], Train Loss: 0.7956, Train Acc: 71.95%, Val Loss: 3.3738, Val Acc: 31.10%
Epoch [22/25], Train Loss: 0.7241, Train Acc: 74.62%, Val Loss: 3.4010, Val Acc: 29.95%
Epoch [23/25], Train Loss: 0.6592, Train Acc: 76.95%, Val Loss: 3.8004, Val Acc: 29.10%
Epoch [24/25], Train Loss: 0.6021, Train Acc: 79.25%, Val Loss: 3.7922, Val Acc: 29.00%
Epoch [25/25], Train Loss: 0.5256, Train Acc: 81.79%, Val Loss: 4.5338, Val Acc: 29.15%
