Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:40<00:00, 245.57it/s]
Starting training with run name: filter_double_bs_64_ac_gelu
Epoch [1/25], Train Loss: 7.2150, Train Acc: 13.25%, Val Loss: 2.2735, Val Acc: 15.85%
Epoch [2/25], Train Loss: 2.2507, Train Acc: 15.45%, Val Loss: 2.2338, Val Acc: 18.30%
Epoch [3/25], Train Loss: 2.2107, Train Acc: 18.68%, Val Loss: 2.1843, Val Acc: 19.40%
Epoch [4/25], Train Loss: 2.1794, Train Acc: 19.78%, Val Loss: 2.1526, Val Acc: 21.50%
Epoch [5/25], Train Loss: 2.1613, Train Acc: 21.17%, Val Loss: 2.1222, Val Acc: 22.35%
Epoch [6/25], Train Loss: 2.1714, Train Acc: 20.89%, Val Loss: 2.1274, Val Acc: 23.55%
Epoch [7/25], Train Loss: 2.1166, Train Acc: 22.47%, Val Loss: 2.1883, Val Acc: 20.30%
Epoch [8/25], Train Loss: 2.1490, Train Acc: 22.85%, Val Loss: 2.1583, Val Acc: 22.70%
Epoch [9/25], Train Loss: 2.1100, Train Acc: 23.94%, Val Loss: 2.1172, Val Acc: 24.10%
Epoch [10/25], Train Loss: 2.1140, Train Acc: 22.79%, Val Loss: 2.0917, Val Acc: 24.75%
Epoch [11/25], Train Loss: 2.0956, Train Acc: 23.98%, Val Loss: 2.2383, Val Acc: 23.00%
Epoch [12/25], Train Loss: 2.1046, Train Acc: 23.67%, Val Loss: 2.1153, Val Acc: 23.30%
Epoch [13/25], Train Loss: 2.0778, Train Acc: 24.67%, Val Loss: 2.0508, Val Acc: 27.80%
Epoch [14/25], Train Loss: 2.0841, Train Acc: 24.25%, Val Loss: 2.1618, Val Acc: 25.85%
Epoch [15/25], Train Loss: 2.1093, Train Acc: 23.98%, Val Loss: 2.1528, Val Acc: 23.90%
Epoch [16/25], Train Loss: 2.0823, Train Acc: 24.53%, Val Loss: 2.0963, Val Acc: 25.00%
Epoch [17/25], Train Loss: 2.0650, Train Acc: 24.83%, Val Loss: 2.0983, Val Acc: 24.85%
Epoch [18/25], Train Loss: 2.2009, Train Acc: 22.48%, Val Loss: 2.1178, Val Acc: 22.45%
Epoch [19/25], Train Loss: 2.1174, Train Acc: 22.29%, Val Loss: 2.1018, Val Acc: 23.20%
Epoch [20/25], Train Loss: 2.0708, Train Acc: 25.00%, Val Loss: 2.1093, Val Acc: 23.60%
Epoch [21/25], Train Loss: 2.0751, Train Acc: 24.38%, Val Loss: 2.0910, Val Acc: 24.15%
Epoch [22/25], Train Loss: 2.0754, Train Acc: 24.05%, Val Loss: 2.1398, Val Acc: 24.55%
Epoch [23/25], Train Loss: 2.1159, Train Acc: 24.49%, Val Loss: 2.0830, Val Acc: 25.80%
Epoch [24/25], Train Loss: 2.1612, Train Acc: 23.67%, Val Loss: 2.2853, Val Acc: 22.40%
Epoch [25/25], Train Loss: 2.1243, Train Acc: 24.17%, Val Loss: 2.0996, Val Acc: 23.65%
