Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:42<00:00, 237.02it/s]
Starting training with run name: filter_same_bs_32_ac_tanh
Epoch [1/25], Train Loss: 2.1713, Train Acc: 21.73%, Val Loss: 2.0876, Val Acc: 25.65%
Epoch [2/25], Train Loss: 2.0373, Train Acc: 28.72%, Val Loss: 2.0275, Val Acc: 28.65%
Epoch [3/25], Train Loss: 1.9849, Train Acc: 31.48%, Val Loss: 1.9845, Val Acc: 29.80%
Epoch [4/25], Train Loss: 1.9435, Train Acc: 32.68%, Val Loss: 1.9691, Val Acc: 30.85%
Epoch [5/25], Train Loss: 1.9152, Train Acc: 33.43%, Val Loss: 1.9590, Val Acc: 31.90%
Epoch [6/25], Train Loss: 1.8897, Train Acc: 34.59%, Val Loss: 1.9600, Val Acc: 31.85%
Epoch [7/25], Train Loss: 1.8721, Train Acc: 35.10%, Val Loss: 1.9425, Val Acc: 32.30%
Epoch [8/25], Train Loss: 1.8547, Train Acc: 35.30%, Val Loss: 1.9401, Val Acc: 32.10%
Epoch [9/25], Train Loss: 1.8345, Train Acc: 36.24%, Val Loss: 1.9353, Val Acc: 32.25%
Epoch [10/25], Train Loss: 1.8215, Train Acc: 36.38%, Val Loss: 1.9326, Val Acc: 32.80%
Epoch [11/25], Train Loss: 1.8036, Train Acc: 36.98%, Val Loss: 1.9322, Val Acc: 33.45%
Epoch [12/25], Train Loss: 1.7853, Train Acc: 37.73%, Val Loss: 1.9254, Val Acc: 32.15%
Epoch [13/25], Train Loss: 1.7664, Train Acc: 38.89%, Val Loss: 1.9186, Val Acc: 33.50%
Epoch [14/25], Train Loss: 1.7519, Train Acc: 38.88%, Val Loss: 1.9212, Val Acc: 32.85%
Epoch [15/25], Train Loss: 1.7383, Train Acc: 39.40%, Val Loss: 1.9091, Val Acc: 33.55%
Epoch [16/25], Train Loss: 1.7226, Train Acc: 40.53%, Val Loss: 1.9039, Val Acc: 33.85%
Epoch [17/25], Train Loss: 1.7059, Train Acc: 41.07%, Val Loss: 1.9143, Val Acc: 33.40%
Epoch [18/25], Train Loss: 1.6885, Train Acc: 41.57%, Val Loss: 1.9096, Val Acc: 34.75%
Epoch [19/25], Train Loss: 1.6737, Train Acc: 41.99%, Val Loss: 1.9028, Val Acc: 34.70%
Epoch [20/25], Train Loss: 1.6574, Train Acc: 42.98%, Val Loss: 1.9122, Val Acc: 34.40%
Epoch [21/25], Train Loss: 1.6412, Train Acc: 43.02%, Val Loss: 1.9077, Val Acc: 34.75%
Epoch [22/25], Train Loss: 1.6279, Train Acc: 43.88%, Val Loss: 1.8973, Val Acc: 36.40%
Epoch [23/25], Train Loss: 1.6113, Train Acc: 43.91%, Val Loss: 1.8989, Val Acc: 34.70%
Epoch [24/25], Train Loss: 1.5966, Train Acc: 45.13%, Val Loss: 1.9068, Val Acc: 35.60%
Epoch [25/25], Train Loss: 1.5794, Train Acc: 45.83%, Val Loss: 1.8984, Val Acc: 36.05%
