Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:43<00:00, 232.13it/s]
Starting training with run name: filter_double_bs_64_ac_tanh
Epoch [1/25], Train Loss: 2.0724, Train Acc: 25.70%, Val Loss: 1.9816, Val Acc: 30.25%
Epoch [2/25], Train Loss: 1.9005, Train Acc: 32.75%, Val Loss: 1.9426, Val Acc: 31.45%
Epoch [3/25], Train Loss: 1.8061, Train Acc: 37.53%, Val Loss: 1.9287, Val Acc: 32.90%
Epoch [4/25], Train Loss: 1.7248, Train Acc: 40.88%, Val Loss: 1.8952, Val Acc: 34.50%
Epoch [5/25], Train Loss: 1.6268, Train Acc: 45.37%, Val Loss: 1.9202, Val Acc: 32.95%
Epoch [6/25], Train Loss: 1.5633, Train Acc: 47.87%, Val Loss: 1.9040, Val Acc: 33.50%
Epoch [7/25], Train Loss: 1.4663, Train Acc: 52.14%, Val Loss: 1.9004, Val Acc: 35.45%
Epoch [8/25], Train Loss: 1.3796, Train Acc: 56.13%, Val Loss: 1.9112, Val Acc: 35.20%
Epoch [9/25], Train Loss: 1.2929, Train Acc: 60.77%, Val Loss: 1.9146, Val Acc: 35.20%
Epoch [10/25], Train Loss: 1.2176, Train Acc: 64.18%, Val Loss: 1.9405, Val Acc: 34.60%
Epoch [11/25], Train Loss: 1.1327, Train Acc: 67.63%, Val Loss: 1.8961, Val Acc: 33.70%
Epoch [12/25], Train Loss: 1.0438, Train Acc: 72.55%, Val Loss: 1.9030, Val Acc: 35.10%
Epoch [13/25], Train Loss: 0.9661, Train Acc: 76.36%, Val Loss: 1.8975, Val Acc: 36.10%
Epoch [14/25], Train Loss: 0.8830, Train Acc: 80.04%, Val Loss: 1.9420, Val Acc: 33.75%
Epoch [15/25], Train Loss: 0.7997, Train Acc: 84.12%, Val Loss: 1.9283, Val Acc: 34.30%
Epoch [16/25], Train Loss: 0.7298, Train Acc: 86.30%, Val Loss: 1.9385, Val Acc: 34.60%
Epoch [17/25], Train Loss: 0.6567, Train Acc: 89.71%, Val Loss: 1.9659, Val Acc: 35.15%
Epoch [18/25], Train Loss: 0.5875, Train Acc: 91.61%, Val Loss: 1.9808, Val Acc: 33.45%
Epoch [19/25], Train Loss: 0.5302, Train Acc: 93.42%, Val Loss: 1.9333, Val Acc: 34.30%
Epoch [20/25], Train Loss: 0.4702, Train Acc: 94.80%, Val Loss: 1.9691, Val Acc: 34.50%
Epoch [21/25], Train Loss: 0.4136, Train Acc: 96.24%, Val Loss: 1.9574, Val Acc: 34.55%
Epoch [22/25], Train Loss: 0.3652, Train Acc: 97.31%, Val Loss: 1.9998, Val Acc: 33.20%
Epoch [23/25], Train Loss: 0.3211, Train Acc: 98.21%, Val Loss: 1.9824, Val Acc: 35.00%
Epoch [24/25], Train Loss: 0.2801, Train Acc: 98.45%, Val Loss: 2.0236, Val Acc: 34.00%
Epoch [25/25], Train Loss: 0.2465, Train Acc: 99.06%, Val Loss: 2.0271, Val Acc: 34.15%
