Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:42<00:00, 236.70it/s]
Starting training with run name: filter_half_bs_64_ac_selu
Epoch [1/25], Train Loss: 2.2974, Train Acc: 10.91%, Val Loss: 2.2732, Val Acc: 13.75%
Epoch [2/25], Train Loss: 2.2565, Train Acc: 15.86%, Val Loss: 2.2379, Val Acc: 16.75%
Epoch [3/25], Train Loss: 2.2318, Train Acc: 17.30%, Val Loss: 2.2237, Val Acc: 17.10%
Epoch [4/25], Train Loss: 2.2143, Train Acc: 18.45%, Val Loss: 2.2094, Val Acc: 18.35%
Epoch [5/25], Train Loss: 2.2009, Train Acc: 19.23%, Val Loss: 2.2094, Val Acc: 19.25%
Epoch [6/25], Train Loss: 2.1824, Train Acc: 20.44%, Val Loss: 2.1908, Val Acc: 19.85%
Epoch [7/25], Train Loss: 2.1530, Train Acc: 21.77%, Val Loss: 2.1633, Val Acc: 20.45%
Epoch [8/25], Train Loss: 2.1172, Train Acc: 23.12%, Val Loss: 2.1404, Val Acc: 21.75%
Epoch [9/25], Train Loss: 2.0928, Train Acc: 24.23%, Val Loss: 2.1244, Val Acc: 23.15%
Epoch [10/25], Train Loss: 2.0763, Train Acc: 24.75%, Val Loss: 2.1146, Val Acc: 22.85%
Epoch [11/25], Train Loss: 2.0566, Train Acc: 26.19%, Val Loss: 2.1126, Val Acc: 23.50%
Epoch [12/25], Train Loss: 2.0450, Train Acc: 25.85%, Val Loss: 2.1031, Val Acc: 23.55%
Epoch [13/25], Train Loss: 2.0283, Train Acc: 26.69%, Val Loss: 2.0967, Val Acc: 24.45%
Epoch [14/25], Train Loss: 2.0151, Train Acc: 27.72%, Val Loss: 2.0978, Val Acc: 25.55%
Epoch [15/25], Train Loss: 2.0033, Train Acc: 28.13%, Val Loss: 2.0810, Val Acc: 25.25%
Epoch [16/25], Train Loss: 1.9901, Train Acc: 28.88%, Val Loss: 2.0787, Val Acc: 25.25%
Epoch [17/25], Train Loss: 1.9781, Train Acc: 29.27%, Val Loss: 2.0725, Val Acc: 24.15%
Epoch [18/25], Train Loss: 1.9655, Train Acc: 29.54%, Val Loss: 2.0685, Val Acc: 25.10%
Epoch [19/25], Train Loss: 1.9598, Train Acc: 30.03%, Val Loss: 2.0829, Val Acc: 24.65%
Epoch [20/25], Train Loss: 1.9454, Train Acc: 30.15%, Val Loss: 2.0775, Val Acc: 24.75%
Epoch [21/25], Train Loss: 1.9366, Train Acc: 30.50%, Val Loss: 2.0676, Val Acc: 25.10%
Epoch [22/25], Train Loss: 1.9262, Train Acc: 30.77%, Val Loss: 2.0758, Val Acc: 24.60%
Epoch [23/25], Train Loss: 1.9148, Train Acc: 31.52%, Val Loss: 2.0800, Val Acc: 25.00%
Epoch [24/25], Train Loss: 1.9046, Train Acc: 31.83%, Val Loss: 2.0934, Val Acc: 25.20%
Epoch [25/25], Train Loss: 1.8891, Train Acc: 32.63%, Val Loss: 2.0888, Val Acc: 25.55%
