Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:42<00:00, 233.60it/s]
[34m[1mwandb[0m: [33mWARNING[0m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Starting training with run name: filter_same_bs_32_ac_gelu
Epoch [1/20], Train Loss: 2.1986, Train Acc: 20.72%, Val Loss: 2.1070, Val Acc: 26.05%
Epoch [2/20], Train Loss: 2.0465, Train Acc: 28.98%, Val Loss: 2.0302, Val Acc: 28.65%
Epoch [3/20], Train Loss: 1.9582, Train Acc: 32.12%, Val Loss: 1.9746, Val Acc: 31.30%
Epoch [4/20], Train Loss: 1.8907, Train Acc: 34.55%, Val Loss: 1.9507, Val Acc: 31.85%
Epoch [5/20], Train Loss: 1.8441, Train Acc: 36.23%, Val Loss: 1.9404, Val Acc: 33.75%
Epoch [6/20], Train Loss: 1.7987, Train Acc: 38.00%, Val Loss: 1.9284, Val Acc: 32.75%
Epoch [7/20], Train Loss: 1.7553, Train Acc: 39.59%, Val Loss: 1.9129, Val Acc: 34.55%
Epoch [8/20], Train Loss: 1.7232, Train Acc: 40.86%, Val Loss: 1.9074, Val Acc: 34.60%
Epoch [9/20], Train Loss: 1.6853, Train Acc: 42.46%, Val Loss: 1.8917, Val Acc: 35.00%
Epoch [10/20], Train Loss: 1.6428, Train Acc: 44.57%, Val Loss: 1.8992, Val Acc: 34.30%
Epoch [11/20], Train Loss: 1.6035, Train Acc: 45.86%, Val Loss: 1.8914, Val Acc: 34.50%
Epoch [12/20], Train Loss: 1.5755, Train Acc: 47.22%, Val Loss: 1.8789, Val Acc: 35.75%
Epoch [13/20], Train Loss: 1.5450, Train Acc: 48.19%, Val Loss: 1.8778, Val Acc: 35.45%
Epoch [14/20], Train Loss: 1.5140, Train Acc: 49.57%, Val Loss: 1.8841, Val Acc: 35.35%
Epoch [15/20], Train Loss: 1.4817, Train Acc: 51.36%, Val Loss: 1.8797, Val Acc: 34.15%
Epoch [16/20], Train Loss: 1.4447, Train Acc: 52.06%, Val Loss: 1.8906, Val Acc: 34.80%
Epoch [17/20], Train Loss: 1.4183, Train Acc: 53.76%, Val Loss: 1.8889, Val Acc: 34.95%
Epoch [18/20], Train Loss: 1.3923, Train Acc: 54.42%, Val Loss: 1.8736, Val Acc: 35.45%
Epoch [19/20], Train Loss: 1.3620, Train Acc: 56.26%, Val Loss: 1.9026, Val Acc: 35.70%
Epoch [20/20], Train Loss: 1.3322, Train Acc: 56.79%, Val Loss: 1.8963, Val Acc: 35.40%
