Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:41<00:00, 243.46it/s]
Starting training with run name: filter_same_bs_64_ac_mish
Epoch [1/20], Train Loss: 2.1540, Train Acc: 22.48%, Val Loss: 2.0387, Val Acc: 29.40%
Epoch [2/20], Train Loss: 1.9936, Train Acc: 30.08%, Val Loss: 2.0050, Val Acc: 30.40%
Epoch [3/20], Train Loss: 1.9257, Train Acc: 32.72%, Val Loss: 1.9555, Val Acc: 32.95%
Epoch [4/20], Train Loss: 1.8717, Train Acc: 34.83%, Val Loss: 1.9148, Val Acc: 33.85%
Epoch [5/20], Train Loss: 1.8058, Train Acc: 36.75%, Val Loss: 1.8712, Val Acc: 34.30%
Epoch [6/20], Train Loss: 1.7543, Train Acc: 39.40%, Val Loss: 1.8522, Val Acc: 36.10%
Epoch [7/20], Train Loss: 1.6816, Train Acc: 41.58%, Val Loss: 1.8788, Val Acc: 35.10%
Epoch [8/20], Train Loss: 1.5897, Train Acc: 45.26%, Val Loss: 1.8626, Val Acc: 36.40%
Epoch [9/20], Train Loss: 1.4818, Train Acc: 48.38%, Val Loss: 1.9071, Val Acc: 35.90%
Epoch [10/20], Train Loss: 1.3219, Train Acc: 54.73%, Val Loss: 1.9788, Val Acc: 36.55%
Epoch [11/20], Train Loss: 1.1216, Train Acc: 61.92%, Val Loss: 2.1205, Val Acc: 35.00%
Epoch [12/20], Train Loss: 0.8319, Train Acc: 71.66%, Val Loss: 2.4757, Val Acc: 36.40%
Epoch [13/20], Train Loss: 0.5192, Train Acc: 82.52%, Val Loss: 2.9454, Val Acc: 35.45%
Epoch [14/20], Train Loss: 0.2831, Train Acc: 91.07%, Val Loss: 3.1783, Val Acc: 34.60%
Epoch [15/20], Train Loss: 0.1436, Train Acc: 95.89%, Val Loss: 4.0286, Val Acc: 34.75%
Epoch [16/20], Train Loss: 0.1109, Train Acc: 96.82%, Val Loss: 3.9904, Val Acc: 34.60%
Epoch [17/20], Train Loss: 0.0541, Train Acc: 98.65%, Val Loss: 4.4133, Val Acc: 35.75%
Epoch [18/20], Train Loss: 0.0649, Train Acc: 98.22%, Val Loss: 4.0904, Val Acc: 35.35%
Epoch [19/20], Train Loss: 0.0378, Train Acc: 99.02%, Val Loss: 4.5199, Val Acc: 35.45%
Epoch [20/20], Train Loss: 0.0179, Train Acc: 99.70%, Val Loss: 4.8349, Val Acc: 36.30%
