Loading Data ....
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 9999/9999 [00:42<00:00, 233.55it/s]
Starting training with run name: filter_double_bs_64_ac_tanh
Epoch [1/20], Train Loss: 2.3355, Train Acc: 23.09%, Val Loss: 2.0399, Val Acc: 26.85%
Epoch [2/20], Train Loss: 2.0439, Train Acc: 27.38%, Val Loss: 2.0366, Val Acc: 29.20%
Epoch [3/20], Train Loss: 1.9926, Train Acc: 29.58%, Val Loss: 2.0075, Val Acc: 28.40%
Epoch [4/20], Train Loss: 1.9531, Train Acc: 31.39%, Val Loss: 2.0022, Val Acc: 28.35%
Epoch [5/20], Train Loss: 1.9295, Train Acc: 31.73%, Val Loss: 1.9896, Val Acc: 30.10%
Epoch [6/20], Train Loss: 1.8835, Train Acc: 33.14%, Val Loss: 1.9891, Val Acc: 30.10%
Epoch [7/20], Train Loss: 1.8518, Train Acc: 34.77%, Val Loss: 1.9448, Val Acc: 31.65%
Epoch [8/20], Train Loss: 1.8031, Train Acc: 36.54%, Val Loss: 1.9335, Val Acc: 32.35%
Epoch [9/20], Train Loss: 1.7869, Train Acc: 37.30%, Val Loss: 1.9564, Val Acc: 32.90%
Epoch [10/20], Train Loss: 1.7760, Train Acc: 37.68%, Val Loss: 1.9865, Val Acc: 30.65%
Epoch [11/20], Train Loss: 1.7502, Train Acc: 38.33%, Val Loss: 1.9451, Val Acc: 33.65%
Epoch [12/20], Train Loss: 1.7034, Train Acc: 40.44%, Val Loss: 1.9226, Val Acc: 34.35%
Epoch [13/20], Train Loss: 1.6879, Train Acc: 41.26%, Val Loss: 1.9277, Val Acc: 34.05%
Epoch [14/20], Train Loss: 1.6626, Train Acc: 41.89%, Val Loss: 1.9089, Val Acc: 34.00%
Epoch [15/20], Train Loss: 1.6404, Train Acc: 42.66%, Val Loss: 1.9284, Val Acc: 32.90%
Epoch [16/20], Train Loss: 1.6130, Train Acc: 44.13%, Val Loss: 1.9408, Val Acc: 34.05%
Epoch [17/20], Train Loss: 1.5833, Train Acc: 45.46%, Val Loss: 1.8941, Val Acc: 35.45%
Epoch [18/20], Train Loss: 1.5371, Train Acc: 47.07%, Val Loss: 1.9097, Val Acc: 34.75%
Epoch [19/20], Train Loss: 1.5256, Train Acc: 47.32%, Val Loss: 1.9303, Val Acc: 33.70%
Epoch [20/20], Train Loss: 1.4925, Train Acc: 48.08%, Val Loss: 1.9276, Val Acc: 36.00%
